event_id,sales_session_id,tour_id,date,prefecture,venue,part_label,doors_time,start_time
FRESHEST_AICHI_0821,FRESHEST_AICHI_0821,FRESHEST_2026,2026-08-21,愛知,COMTEC PORTBASE,,17:30,18:30
FRESHEST_AICHI_0822_P1,FRESHEST_AICHI_0822,FRESHEST_2026,2026-08-22,愛知,COMTEC PORTBASE,1部,12:30,13:30
FRESHEST_AICHI_0822_P2,FRESHEST_AICHI_0822,FRESHEST_2026,2026-08-22,愛知,COMTEC PORTBASE,2部,16:30,17:30
FRESHEST_FUKUOKA_0829,FRESHEST_FUKUOKA_0829,FRESHEST_2026,2026-08-29,福岡,福岡国際会議場 メインホール,,17:00,18:00
FRESHEST_FUKUOKA_0830_P1,FRESHEST_FUKUOKA_0830,FRESHEST_2026,2026-08-30,福岡,福岡国際会議場 メインホール,1部,12:30,13:30
FRESHEST_FUKUOKA_0830_P2,FRESHEST_FUKUOKA_0830,FRESHEST_2026,2026-08-30,福岡,福岡国際会議場 メインホール,2部,16:30,17:30
FRESHEST_OSAKA_0918,FRESHEST_OSAKA_0918,FRESHEST_2026,2026-09-18,大阪,NHK大阪ホール,,17:30,18:30
FRESHEST_OSAKA_0919_P1,FRESHEST_OSAKA_0919,FRESHEST_2026,2026-09-19,大阪,NHK大阪ホール,1部,12:30,13:30
FRESHEST_OSAKA_0919_P2,FRESHEST_OSAKA_0919,FRESHEST_2026,2026-09-19,大阪,NHK大阪ホール,2部,16:30,17:30
FRESHEST_TOKYO_0923,FRESHEST_TOKYO_0923,FRESHEST_2026,2026-09-23,東京,東京国際フォーラム ホールA,,16:30,17:30
